run,move,player,action,time_elapsed,nodes_expanded,col_cat,phase
24,9,1,3,0.18510794639587402,35,center,mid
24,10,-1,3,0.06475496292114258,11,center,mid
24,11,1,6,0.13210773468017578,18,edge,mid
24,12,-1,1,0.11020421981811523,18,edge,mid
24,13,1,5,0.04199075698852539,9,edge,mid
24,14,-1,3,0.026369810104370117,9,center,mid
24,15,1,5,0.027519941329956055,7,edge,late
24,16,-1,1,0.04045820236206055,9,edge,late
24,17,1,1,0.027519941329956055,7,edge,late
24,18,-1,4,0.008750200271606445,2,center,late
24,19,1,4,0.027519941329956055,7,center,late
25,0,-1,2,0.20114922523498535,23,center,early
25,1,1,6,0.22083663940429688,27,edge,early
25,2,-1,1,0.13156557083129883,22,edge,early
25,3,1,6,0.22523164749145508,32,edge,early
25,4,-1,6,0.1556992530822754,20,edge,early
25,5,1,6,0.17557573318481445,21,edge,early
25,6,-1,2,0.25321412086486816,35,center,early
25,7,1,6,0.12425732612609863,17,edge,early
25,8,-1,2,0.20894908905029297,34,center,mid
25,9,1,2,0.12425732612609863,17,center,mid
25,10,-1,4,0.2726616859436035,32,center,mid
25,11,1,3,0.12425732612609863,17,center,mid
25,12,-1,0,0.18615126609802246,23,edge,mid
25,13,1,6,0.08631634712219238,15,edge,mid
25,14,-1,4,0.07117414474487305,9,center,mid
25,15,1,5,0.07268500328063965,13,edge,late
25,16,-1,3,0.011701822280883789,3,center,late
25,17,1,1,0.07268500328063965,13,edge,late
25,18,-1,5,0.011701822280883789,3,edge,late
26,0,-1,1,0.33709263801574707,35,edge,early
26,1,1,6,0.2935671806335449,41,edge,early
26,2,-1,5,0.17502522468566895,25,edge,early
26,3,1,6,0.22499775886535645,31,edge,early
26,4,-1,2,0.14535260200500488,20,center,early
26,5,1,6,0.1896047592163086,37,edge,early
26,6,-1,6,0.14535260200500488,20,edge,early
26,7,1,6,0.11411738395690918,16,edge,early
26,8,-1,5,0.19244003295898438,34,edge,mid
26,9,1,6,0.07290911674499512,14,edge,mid
26,10,-1,0,0.1975114345550537,25,edge,mid
26,11,1,3,0.07290911674499512,14,center,mid
26,12,-1,5,0.16827750205993652,23,edge,mid
26,13,1,5,0.07290911674499512,14,edge,mid
26,14,-1,3,0.06144571304321289,11,center,mid
26,15,1,5,0.07753205299377441,12,edge,late
26,16,-1,3,0.10850358009338379,13,center,late
26,17,1,5,0.037369489669799805,7,edge,late
26,18,-1,3,0.05988192558288574,11,center,late
26,19,1,3,0.037369489669799805,7,center,late
26,20,-1,0,0.03458356857299805,7,edge,late
26,21,1,4,0.04472088813781738,9,center,late
26,22,-1,4,0.019807100296020508,5,center,late
26,23,1,2,0.04472088813781738,9,center,late
26,24,-1,0,0.019452333450317383,5,edge,late
26,25,1,0,0.04472088813781738,9,edge,late
26,26,-1,3,0.01785135269165039,4,center,late
26,27,1,4,0.011388540267944336,3,center,late
26,28,-1,2,0.013234138488769531,3,center,late
26,29,1,1,0.011388540267944336,3,edge,late
26,30,-1,1,0.013234138488769531,3,edge,late
27,0,-1,1,0.3126993179321289,35,edge,early
27,1,1,6,0.29512906074523926,41,edge,early
27,2,-1,0,0.18544268608093262,20,edge,early
